Year,Country,Region,Crop_Type,Average_Temperature_C,Total_Precipitation_mm,CO2_Emissions_MT,Crop_Yield_MT_per_HA,Extreme_Weather_Events,Irrigation_Access_%,Pesticide_Use_KG_per_HA,Fertilizer_Use_KG_per_HA,Soil_Health_Index,Adaptation_Strategies,Economic_Impact_Million_USD,Affected_by_Climate_Change
1993,Nigeria,South West,Fruits,25.83750279752241,881.2667689466732,7.27,2.4814834423007817,9,98.03,18.45,94.22,62.93114287077106,Organic Farming,461.75403959000187,0
2022,Canada,Ontario,Fruits,24.787765772350046,754.0357175721186,11.29,2.1843509158478454,10,55.19,14.16,54.89,52.676497085327135,No Adaptation,650.8552308185947,0
1997,USA,South,Coffee,24.597135039588085,972.6158271578062,20.34,2.373470122477371,10,49.77,29.93,1.12,67.52382998302409,Drought-resistant Crops,806.8059672229709,0
2011,Brazil,South,Fruits,14.278135291605139,719.832476105286,5.12,3.56130513519396,3,97.87,0.07,52.22,56.37669507174926,Water Management,832.9875443560877,0
1994,China,East,Cotton,14.068650698267458,781.1250622531725,3.13,3.769084388998789,2,52.17,43.54,36.43,53.25823279174245,Organic Farming,703.113446289786,0
2022,France,Ile-de-France,Rice,20.11623593028137,649.8678335018412,0.67,4.215344952978751,0,38.78,32.07,16.66,64.72355660749469,Crop Rotation,1049.2491116587503,0
2000,Nigeria,South East,Rice,18.996140895562128,865.4927958717806,15.52,2.412606284427863,10,21.39,13.82,63.2,61.59968119392073,No Adaptation,665.5680551826222,0
2016,Australia,Queensland,Rice,27.14917875297191,974.5463701610838,23.13,2.4257161212176594,10,88.89,43.03,69.48,70.18948575009948,Organic Farming,674.9634469762251,0
2012,USA,Midwest,Vegetables,18.704450087257968,1000.3945905619669,27.68,2.020663346464266,10,69.03,14.97,9.47,51.06931903076705,No Adaptation,637.2680344992543,1
2008,Australia,Victoria,Corn,19.713855001611964,822.1041061492497,20.18,2.3491305065962838,10,48.66,1.98,64.11,51.13883464171457,Crop Rotation,492.44467924230446,0
2010,France,Provence-Alpes-Cote d’Azur,Sugarcane,29.07338250552038,982.3523940135201,18.95,1.8043610258168679,10,97.88,15.82,54.91,48.12912241420901,Water Management,532.1292824511291,0
1990,Nigeria,North West,Vegetables,14.801411863764177,752.8146735027115,6.57,4.244309082135862,1,47.31,22.19,1.34,63.279071183682746,No Adaptation,999.6158071932435,0
2000,USA,South,Vegetables,28.57746923435327,830.2510786415501,17.0,2.194541490464914,10,64.45,49.46,29.43,43.85667271732658,Crop Rotation,565.661049424881,0
1993,Argentina,Northeast,Cotton,21.08400807160884,824.6887785154288,16.23,2.522448522039241,10,85.6,11.59,18.53,65.70029762330137,Drought-resistant Crops,466.08415319446135,0
2018,Canada,Quebec,Coffee,23.47286663341312,839.1016442724091,26.29,2.66126293885193,10,43.33,34.02,17.83,66.27706726363279,Drought-resistant Crops,678.218884061886,0
2003,Canada,British Columbia,Coffee,23.269611296678484,959.7493910108036,26.72,2.6074850932313507,10,50.16,30.98,87.77,76.65370241529334,Drought-resistant Crops,533.7114281667475,0
1994,USA,Midwest,Vegetables,18.125344087396016,540.199156266325,1.5,2.535685862797602,4,94.31,48.76,23.63,46.90824862209789,Water Management,590.6134982092146,0
2006,Argentina,Northwest,Coffee,23.432290952880457,1000.7087890035208,16.65,1.784677052375424,10,18.87,15.58,75.54,49.191635021956486,Crop Rotation,256.56909808329834,0
2008,France,Nouvelle-Aquitaine,Cotton,19.77011086333918,867.7069143773505,14.62,2.499859403279864,10,95.05,26.65,60.89,67.24791770740543,Drought-resistant Crops,573.9329756209138,0
2007,Nigeria,South East,Soybeans,23.14650934485615,1083.233426297737,24.17,1.515204035252517,10,35.82,8.66,43.36,53.56808890321557,Organic Farming,678.9779464525916,1
2002,Argentina,Pampas,Coffee,24.345678826170143,1164.976162983899,23.81,0.607827629745358,10,85.95,17.96,78.67,36.4002308990965,No Adaptation,284.6248579546409,1
2001,Australia,Queensland,Cotton,19.110504880392924,934.5486445784877,14.71,1.8356637815399552,10,83.63,16.76,81.77,40.26539433227907,No Adaptation,436.10450932251854,0
2006,Canada,Ontario,Rice,18.524931535793634,779.5588842305838,12.97,3.1206261457144135,6,43.43,15.22,67.29,55.53750147402975,No Adaptation,649.2861450933448,0
2014,Nigeria,North West,Barley,8.638724574136766,840.6349224749587,6.35,2.640360793462642,8,15.36,15.75,27.71,55.618654917727284,Organic Farming,884.1002347360331,0
2010,Brazil,Southeast,Corn,28.768536337799233,1060.8845626292946,29.85,1.8108896816639328,10,43.28,24.28,65.22,55.22020935003344,Organic Farming,713.5904041630886,1
1996,Canada,Quebec,Corn,25.457256101268815,941.7315037152466,13.53,2.280084077033046,10,77.46,8.99,57.54,65.17300541035797,Crop Rotation,517.8435951161464,0
2008,France,Grand Est,Coffee,23.051134605288485,579.7311234356811,6.38,3.022682991934032,5,65.53,7.82,32.96,64.75445312482401,Water Management,754.4353106032493,0
2016,Nigeria,North Central,Corn,12.499840807440139,986.6070662460615,7.53,2.35226941621839,9,62.81,24.76,37.48,63.43744824864781,Drought-resistant Crops,682.0050070245197,0
1992,India,Tamil Nadu,Cotton,20.962460620731,908.5554418138486,21.12,2.4517619605538394,10,81.21,23.53,13.0,62.72543526197646,No Adaptation,716.5609828322163,0
2009,Russia,Siberian,Rice,13.656936603646876,742.5907975297607,6.83,2.1052476185694906,10,83.67,25.95,93.42,49.521513981480275,Crop Rotation,654.5017310668586,0
2007,India,Tamil Nadu,Vegetables,24.31231234733688,783.3219529222058,5.03,3.104793623188094,5,52.49,17.98,15.77,56.08868617118441,Water Management,587.0908743500607,0
2008,USA,West,Barley,17.827778387290557,913.6280836000086,17.39,2.1529388839374928,10,20.93,49.05,38.29,49.2633901322996,Water Management,664.6388856758203,0
2022,Brazil,North,Barley,23.0552078365039,826.0865761369815,17.69,2.380001846270638,10,51.74,6.4,26.94,55.153952171954515,Water Management,460.22394419417304,0
1997,India,West Bengal,Rice,30.4937265576432,861.1912858498193,23.5,2.6585670859015744,10,22.85,0.2,33.03,68.44306700575568,Organic Farming,521.7457299221485,0
2021,Canada,British Columbia,Vegetables,17.74699737047318,841.7569881841092,8.64,3.5669464074741377,4,35.46,42.31,65.3,62.72233516691749,Organic Farming,792.5539589446619,0
2004,Russia,Siberian,Rice,19.363844338706617,925.5308172569794,7.18,1.772242576139094,10,64.38,40.73,59.52,42.297957781076455,Crop Rotation,750.4983754502812,0
2006,Nigeria,North Central,Rice,22.93059573019695,948.2694588701736,21.77,2.1676733891290905,10,74.73,32.34,64.12,57.66492984388577,Organic Farming,403.0192083961691,0
2022,France,Grand Est,Cotton,19.596398241650046,949.7242090457106,23.51,2.1765209512776726,10,34.65,42.61,31.53,53.96307533155375,Water Management,626.940793309707,0
2002,Canada,Ontario,Sugarcane,20.698333058576335,753.2660538674156,17.84,2.3584109505021877,10,77.67,4.51,39.68,56.11510818950664,Drought-resistant Crops,446.1551677429327,0
2023,India,Maharashtra,Barley,11.75242646521853,640.9661809599581,9.19,3.199091200349939,3,52.43,25.92,10.16,50.16643449238235,Water Management,1038.7004507730817,0
2003,Australia,Victoria,Corn,26.963504233021983,997.1011405361526,26.91,1.9930700811508253,10,94.01,39.18,49.74,50.88404340230582,Drought-resistant Crops,527.1673068135283,1
2008,Australia,Western Australia,Sugarcane,27.800256708160852,897.6602966732966,25.01,2.3987694442567093,10,31.72,47.88,30.33,58.412735670054545,No Adaptation,464.2528768671055,0
2006,Nigeria,South West,Rice,25.109443209046052,885.3129149635483,14.64,2.3906388714211766,10,38.39,44.42,50.58,59.643344516490515,Water Management,429.5488518886759,0
1997,Russia,Siberian,Corn,24.912517056816917,971.1515982135911,28.74,1.8526802964441842,10,82.99,13.22,77.15,40.385813605584914,Drought-resistant Crops,446.43129411874304,1
2014,Australia,Western Australia,Barley,19.5152113293239,885.0163584316988,18.3,2.1506400902356253,10,57.32,7.4,55.64,49.270019198438995,No Adaptation,642.7215169740443,0
